Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
2017,..,Manitoba,Public,Sub-Total,7104624540,5323,,
2018,..,Manitoba,Public,Sub-Total,7308062497,5402,,
2019,..,Manitoba,Public,Sub-Total,7534327811,5501,,
2020,f,Manitoba,Public,Sub-Total,8760234547,6351,,
2021,f,Manitoba,Public,Sub-Total,8972101323,6435,,
1975,..,Manitoba,Public,Capital,5481000,5,,
1976,..,Manitoba,Public,Capital,8620500,8,,
1977,..,Manitoba,Public,Capital,10953750,11,,
1978,..,Manitoba,Public,Capital,10674500,10,,
1979,..,Manitoba,Public,Capital,12025000,12,,
1980,..,Manitoba,Public,Capital,16185500,16,,
1981,..,Manitoba,Public,Capital,11110000,11,,
1982,..,Manitoba,Public,Capital,24695770,24,,
1983,..,Manitoba,Public,Capital,33540590,32,,
1984,..,Manitoba,Public,Capital,29048250,27,,
1985,..,Manitoba,Public,Capital,34346250,32,,
1986,..,Manitoba,Public,Capital,47618839,44,,
1987,..,Manitoba,Public,Capital,51279159,47,,
1988,..,Manitoba,Public,Capital,58887240,53,,
1989,..,Manitoba,Public,Capital,67882784,61,,
1990,..,Manitoba,Public,Capital,111511090,101,,
1991,..,Manitoba,Public,Capital,113001254,102,,
1992,..,Manitoba,Public,Capital,97200476,87,,
1993,..,Manitoba,Public,Capital,73763406,66,,
1994,..,Manitoba,Public,Capital,63284755,56,,
1995,..,Manitoba,Public,Capital,58686507,52,,
1996,..,Manitoba,Public,Capital,56301992,50,,
1997,..,Manitoba,Public,Capital,73302200,65,,
1998,..,Manitoba,Public,Capital,68970965,61,,
1999,..,Manitoba,Public,Capital,133284013,117,,
2000,..,Manitoba,Public,Capital,147303116,128,,
2001,..,Manitoba,Public,Capital,121441962,105,,
2002,..,Manitoba,Public,Capital,112649234,97,,
2003,..,Manitoba,Public,Capital,170372241,146,,
2004,..,Manitoba,Public,Capital,176174801,150,,
2005,..,Manitoba,Public,Capital,221463515,188,,
2006,..,Manitoba,Public,Capital,208963867,177,,
2007,..,Manitoba,Public,Capital,205535248,173,,
2008,..,Manitoba,Public,Capital,132858170,111,,
2009,..,Manitoba,Public,Capital,207787331,172,,
2010,..,Manitoba,Public,Capital,220892829,181,,
2011,..,Manitoba,Public,Capital,255920739,207,,
2012,..,Manitoba,Public,Capital,350800392,281,,
2013,..,Manitoba,Public,Capital,370015332,293,,
2014,..,Manitoba,Public,Capital,223907949,175,,
2015,..,Manitoba,Public,Capital,201924393,156,,
2016,..,Manitoba,Public,Capital,105974992,81,,
2017,..,Manitoba,Public,Capital,127212912,95,,
2018,..,Manitoba,Public,Capital,111031157,82,,
2019,..,Manitoba,Public,Capital,151676842,111,,
2020,f,Manitoba,Public,Capital,171729300,125,,
2021,f,Manitoba,Public,Capital,118282315,85,,
1975,..,Manitoba,Public,Total,424370500,414,1321639635,1289
1976,..,Manitoba,Public,Total,499734000,484,1420171972,1376
1977,..,Manitoba,Public,Total,554126250,534,1418169593,1367
1978,..,Manitoba,Public,Total,589032750,566,1416487292,1361
1979,..,Manitoba,Public,Total,634319500,612,1381987287,1332
1980,..,Manitoba,Public,Total,739095250,714,1456299995,1408
1981,..,Manitoba,Public,Total,865648750,836,1648418525,1592
1982,..,Manitoba,Public,Total,1016986750,973,1728619510,1654
1983,..,Manitoba,Public,Total,1141000500,1077,1786509825,1686
1984,..,Manitoba,Public,Total,1224256500,1142,1835054280,1712
1985,..,Manitoba,Public,Total,1310929750,1211,1893627712,1749
1986,..,Manitoba,Public,Total,1425783549,1306,1984100198,1818
1987,..,Manitoba,Public,Total,1530229850,1393,2038935540,1856
1988,..,Manitoba,Public,Total,1634266130,1483,2075171045,1883
1989,..,Manitoba,Public,Total,1773221756,1606,2132294373,1932
1990,..,Manitoba,Public,Total,1951134050,1765,2228957524,2016
1991,..,Manitoba,Public,Total,2005985597,1808,2211209291,1993
1992,..,Manitoba,Public,Total,2099328702,1887,2240770860,2014
1993,..,Manitoba,Public,Total,2088891341,1869,2220875647,1987
1994,..,Manitoba,Public,Total,2115661656,1884,2187925407,1948
1995,..,Manitoba,Public,Total,2179377028,1930,2210611052,1958
1996,..,Manitoba,Public,Total,2185304355,1927,2179916424,1922
1997,..,Manitoba,Public,Total,2251939685,1982,2251939685,1982
1998,..,Manitoba,Public,Total,2388628855,2100,2342456193,2059
1999,..,Manitoba,Public,Total,2714965209,2376,2614908419,2289
2000,..,Manitoba,Public,Total,3005450528,2620,2730661657,2380
2001,..,Manitoba,Public,Total,3184702398,2766,2826756116,2455
2002,..,Manitoba,Public,Total,3360268729,2905,2896556345,2504
2003,..,Manitoba,Public,Total,3645328418,3133,3089289358,2655
2004,..,Manitoba,Public,Total,3889700028,3315,3207832909,2734
2005,..,Manitoba,Public,Total,4189946531,3556,3301169089,2802
2006,..,Manitoba,Public,Total,4430944322,3744,3374195318,2851
2007,..,Manitoba,Public,Total,4734941325,3981,3457963740,2907
2008,..,Manitoba,Public,Total,5029370849,4199,3538629573,2954
2009,..,Manitoba,Public,Total,5447690708,4508,3698457820,3060
2010,..,Manitoba,Public,Total,5694945595,4665,3789093375,3104
2011,..,Manitoba,Public,Total,5930233540,4807,3847887236,3119
2012,..,Manitoba,Public,Total,6279939731,5024,4019183729,3215
2013,..,Manitoba,Public,Total,6534673892,5167,4012126816,3173
2014,..,Manitoba,Public,Total,6569447498,5136,3928068443,3071
2015,..,Manitoba,Public,Total,6854861076,5305,4035547865,3123
2016,..,Manitoba,Public,Total,7012186530,5336,4086827699,3110
2017,..,Manitoba,Public,Total,7231837451,5418,4124011742,3090
2018,..,Manitoba,Public,Total,7419093654,5484,4162640711,3077
2019,..,Manitoba,Public,Total,7686004653,5612,4234832119,3092
2020,f,Manitoba,Public,Total,8931963847,6476,4782163996,3467
2021,f,Manitoba,Public,Total,9090383638,6520,4848852699,3478
1975,..,Saskatchewan,Public,Hospitals,182524144,199,,
1976,..,Saskatchewan,Public,Hospitals,224438322,241,,
1977,..,Saskatchewan,Public,Hospitals,251750369,267,,
1978,..,Saskatchewan,Public,Hospitals,264859402,278,,
1979,..,Saskatchewan,Public,Hospitals,287169710,299,,
1980,..,Saskatchewan,Public,Hospitals,337626929,349,,
1981,..,Saskatchewan,Public,Hospitals,373073835,382,,
1982,..,Saskatchewan,Public,Hospitals,430475727,436,,
1983,..,Saskatchewan,Public,Hospitals,473473725,473,,
1984,..,Saskatchewan,Public,Hospitals,500108130,493,,
1985,..,Saskatchewan,Public,Hospitals,524569522,512,,
1986,..,Saskatchewan,Public,Hospitals,555695920,540,,
1987,..,Saskatchewan,Public,Hospitals,567682066,550,,
1988,..,Saskatchewan,Public,Hospitals,593341233,577,,
1989,..,Saskatchewan,Public,Hospitals,644642925,632,,
1990,..,Saskatchewan,Public,Hospitals,707563729,702,,
1991,..,Saskatchewan,Public,Hospitals,736248850,734,,
1992,..,Saskatchewan,Public,Hospitals,728161121,725,,
1993,..,Saskatchewan,Public,Hospitals,702352367,698,,
1994,..,Saskatchewan,Public,Hospitals,661972583,656,,
1995,..,Saskatchewan,Public,Hospitals,638385655,629,,
1996,..,Saskatchewan,Public,Hospitals,650596837,639,,
1997,..,Saskatchewan,Public,Hospitals,664423594,653,,
1998,..,Saskatchewan,Public,Hospitals,702447396,690,,
1999,..,Saskatchewan,Public,Hospitals,770069034,759,,
2000,..,Saskatchewan,Public,Hospitals,826173180,820,,
2001,..,Saskatchewan,Public,Hospitals,890703637,890,,
2002,..,Saskatchewan,Public,Hospitals,956468566,960,,
2003,..,Saskatchewan,Public,Hospitals,986497066,990,,
2004,..,Saskatchewan,Public,Hospitals,1051414464,1054,,
2005,..,Saskatchewan,Public,Hospitals,1144245736,1152,,
2006,..,Saskatchewan,Public,Hospitals,1242732424,1252,,
2007,..,Saskatchewan,Public,Hospitals,1326818874,1324,,
2008,..,Saskatchewan,Public,Hospitals,1437552525,1413,,
2009,..,Saskatchewan,Public,Hospitals,1547811819,1496,,
2010,..,Saskatchewan,Public,Hospitals,1704641249,1621,,
2011,..,Saskatchewan,Public,Hospitals,1771135646,1661,,
2012,..,Saskatchewan,Public,Hospitals,1850388357,1707,,
2013,..,Saskatchewan,Public,Hospitals,1912867447,1739,,
2014,..,Saskatchewan,Public,Hospitals,1961723260,1763,,
2015,..,Saskatchewan,Public,Hospitals,1989151091,1774,,
2016,..,Saskatchewan,Public,Hospitals,2033450711,1790,,
2017,..,Saskatchewan,Public,Hospitals,2073761779,1803,,
2018,..,Saskatchewan,Public,Hospitals,2121427880,1826,,
2019,..,Saskatchewan,Public,Hospitals,2217005093,1891,,
2020,f,Saskatchewan,Public,Hospitals,2256563318,1914,,
2021,f,Saskatchewan,Public,Hospitals,2320129340,1940,,
1975,..,Saskatchewan,Public,Other Institutions,20226750,22,,
1976,..,Saskatchewan,Public,Other Institutions,22379750,24,,
1977,..,Saskatchewan,Public,Other Institutions,24351500,26,,
1978,..,Saskatchewan,Public,Other Institutions,28497000,30,,
1979,..,Saskatchewan,Public,Other Institutions,43213314,45,,
1980,..,Saskatchewan,Public,Other Institutions,54161771,56,,
1981,..,Saskatchewan,Public,Other Institutions,88120250,90,,
1982,..,Saskatchewan,Public,Other Institutions,134580500,136,,
1983,..,Saskatchewan,Public,Other Institutions,163564000,163,,
1984,..,Saskatchewan,Public,Other Institutions,169652750,167,,
1985,..,Saskatchewan,Public,Other Institutions,178514750,174,,
1986,..,Saskatchewan,Public,Other Institutions,198306906,193,,
1987,..,Saskatchewan,Public,Other Institutions,213894671,207,,
1988,..,Saskatchewan,Public,Other Institutions,220415991,214,,
1989,..,Saskatchewan,Public,Other Institutions,235886041,231,,
1990,..,Saskatchewan,Public,Other Institutions,248605342,247,,
1991,..,Saskatchewan,Public,Other Institutions,258470365,258,,
1992,..,Saskatchewan,Public,Other Institutions,262778766,262,,
1993,..,Saskatchewan,Public,Other Institutions,260765325,259,,
1994,..,Saskatchewan,Public,Other Institutions,274513260,272,,
1995,..,Saskatchewan,Public,Other Institutions,274315606,270,,
1996,..,Saskatchewan,Public,Other Institutions,275409974,270,,
1997,..,Saskatchewan,Public,Other Institutions,280740441,276,,
1998,..,Saskatchewan,Public,Other Institutions,285276426,280,,
1999,..,Saskatchewan,Public,Other Institutions,304318511,300,,
2000,..,Saskatchewan,Public,Other Institutions,338301519,336,,
2001,..,Saskatchewan,Public,Other Institutions,350097746,350,,
2002,..,Saskatchewan,Public,Other Institutions,366460571,368,,
2003,..,Saskatchewan,Public,Other Institutions,398736427,400,,
2004,..,Saskatchewan,Public,Other Institutions,421355226,423,,
2005,..,Saskatchewan,Public,Other Institutions,452005551,455,,
2006,..,Saskatchewan,Public,Other Institutions,488346120,492,,
2007,..,Saskatchewan,Public,Other Institutions,524612197,524,,
2008,..,Saskatchewan,Public,Other Institutions,554314720,545,,
2009,..,Saskatchewan,Public,Other Institutions,582850345,563,,
2010,..,Saskatchewan,Public,Other Institutions,639068242,608,,
2011,..,Saskatchewan,Public,Other Institutions,637476955,598,,
2012,..,Saskatchewan,Public,Other Institutions,671326527,619,,
2013,..,Saskatchewan,Public,Other Institutions,732657538,666,,
2014,..,Saskatchewan,Public,Other Institutions,746555316,671,,
2015,..,Saskatchewan,Public,Other Institutions,759990838,678,,
2016,..,Saskatchewan,Public,Other Institutions,782674964,689,,
2017,..,Saskatchewan,Public,Other Institutions,798151568,694,,
2018,..,Saskatchewan,Public,Other Institutions,786410243,677,,
2019,..,Saskatchewan,Public,Other Institutions,819607919,699,,
2020,f,Saskatchewan,Public,Other Institutions,826396948,701,,
2021,f,Saskatchewan,Public,Other Institutions,856745571,716,,
1975,..,Saskatchewan,Public,Physicians,53534250,58,,
1976,..,Saskatchewan,Public,Physicians,61566500,66,,
1977,..,Saskatchewan,Public,Physicians,68704500,73,,
1978,..,Saskatchewan,Public,Physicians,74841750,79,,
1979,..,Saskatchewan,Public,Physicians,82457500,86,,
1980,..,Saskatchewan,Public,Physicians,96272750,100,,
1981,..,Saskatchewan,Public,Physicians,114188750,117,,
1982,..,Saskatchewan,Public,Physicians,138454750,140,,
1983,..,Saskatchewan,Public,Physicians,153755000,154,,
1984,..,Saskatchewan,Public,Physicians,166602750,164,,
1985,..,Saskatchewan,Public,Physicians,179234400,175,,
1986,..,Saskatchewan,Public,Physicians,196969236,191,,
1987,..,Saskatchewan,Public,Physicians,206486057,200,,
1988,..,Saskatchewan,Public,Physicians,214801303,209,,
1989,..,Saskatchewan,Public,Physicians,238010549,233,,
1990,..,Saskatchewan,Public,Physicians,254406116,252,,
1991,..,Saskatchewan,Public,Physicians,267753069,267,,
1992,..,Saskatchewan,Public,Physicians,270584316,270,,
1993,..,Saskatchewan,Public,Physicians,257302783,256,,
1994,..,Saskatchewan,Public,Physicians,289666521,287,,
1995,..,Saskatchewan,Public,Physicians,301578348,297,,
1996,..,Saskatchewan,Public,Physicians,304622395,299,,
1997,..,Saskatchewan,Public,Physicians,327260734,322,,
1998,..,Saskatchewan,Public,Physicians,341229579,335,,
1999,..,Saskatchewan,Public,Physicians,361707275,357,,
2000,..,Saskatchewan,Public,Physicians,400384474,397,,
2001,..,Saskatchewan,Public,Physicians,435047261,435,,
2002,..,Saskatchewan,Public,Physicians,468968915,470,,
2003,..,Saskatchewan,Public,Physicians,493758019,496,,
2004,..,Saskatchewan,Public,Physicians,537481487,539,,
2005,..,Saskatchewan,Public,Physicians,588969658,593,,
2006,..,Saskatchewan,Public,Physicians,629630512,635,,
2007,..,Saskatchewan,Public,Physicians,651629327,650,,
2008,..,Saskatchewan,Public,Physicians,708291944,696,,
2009,..,Saskatchewan,Public,Physicians,755736562,730,,
2010,..,Saskatchewan,Public,Physicians,823286467,783,,
2011,..,Saskatchewan,Public,Physicians,894812621,839,,
2012,..,Saskatchewan,Public,Physicians,918017244,847,,
2013,..,Saskatchewan,Public,Physicians,988975609,899,,
2014,..,Saskatchewan,Public,Physicians,1027863795,924,,
2015,..,Saskatchewan,Public,Physicians,1076876727,961,,
2016,..,Saskatchewan,Public,Physicians,1130603246,995,,
2017,..,Saskatchewan,Public,Physicians,1157888358,1007,,
2018,..,Saskatchewan,Public,Physicians,1159079580,998,,
2019,..,Saskatchewan,Public,Physicians,1197023768,1021,,
2020,f,Saskatchewan,Public,Physicians,1263021565,1072,,
2021,f,Saskatchewan,Public,Physicians,1315793098,1100,,
1975,..,Saskatchewan,Public,Other Professionals,8356750,9,,
1976,..,Saskatchewan,Public,Other Professionals,10379000,11,,
1977,..,Saskatchewan,Public,Other Professionals,12658250,13,,
1978,..,Saskatchewan,Public,Other Professionals,14870250,16,,
1979,..,Saskatchewan,Public,Other Professionals,17342500,18,,
1980,..,Saskatchewan,Public,Other Professionals,20953500,22,,
1981,..,Saskatchewan,Public,Other Professionals,25997250,27,,
1982,..,Saskatchewan,Public,Other Professionals,31364750,32,,
1983,..,Saskatchewan,Public,Other Professionals,35359250,35,,
1984,..,Saskatchewan,Public,Other Professionals,34869750,34,,
1985,..,Saskatchewan,Public,Other Professionals,37196389,36,,
1986,..,Saskatchewan,Public,Other Professionals,38626680,38,,
1987,..,Saskatchewan,Public,Other Professionals,39187356,38,,
1988,..,Saskatchewan,Public,Other Professionals,44059532,43,,
1989,..,Saskatchewan,Public,Other Professionals,48360302,47,,
1990,..,Saskatchewan,Public,Other Professionals,52918603,53,,
1991,..,Saskatchewan,Public,Other Professionals,58252896,58,,
1992,..,Saskatchewan,Public,Other Professionals,55323828,55,,
1993,..,Saskatchewan,Public,Other Professionals,47926370,48,,
1994,..,Saskatchewan,Public,Other Professionals,44999120,45,,
1995,..,Saskatchewan,Public,Other Professionals,45927951,45,,
1996,..,Saskatchewan,Public,Other Professionals,46869303,46,,
1997,..,Saskatchewan,Public,Other Professionals,46744809,46,,
1998,..,Saskatchewan,Public,Other Professionals,52254578,51,,
1999,..,Saskatchewan,Public,Other Professionals,57857119,57,,
2000,..,Saskatchewan,Public,Other Professionals,64637962,64,,
2001,..,Saskatchewan,Public,Other Professionals,68020349,68,,
2002,..,Saskatchewan,Public,Other Professionals,71254959,71,,
2003,..,Saskatchewan,Public,Other Professionals,71469351,72,,
2004,..,Saskatchewan,Public,Other Professionals,74102558,74,,
2005,..,Saskatchewan,Public,Other Professionals,72891482,73,,
2006,..,Saskatchewan,Public,Other Professionals,78857237,79,,
2007,..,Saskatchewan,Public,Other Professionals,84053414,84,,
2008,..,Saskatchewan,Public,Other Professionals,89507796,88,,
2009,..,Saskatchewan,Public,Other Professionals,98470633,95,,
2010,..,Saskatchewan,Public,Other Professionals,97176087,92,,
2011,..,Saskatchewan,Public,Other Professionals,100938487,95,,
2012,..,Saskatchewan,Public,Other Professionals,99332093,92,,
2013,..,Saskatchewan,Public,Other Professionals,100750798,92,,
2014,..,Saskatchewan,Public,Other Professionals,112672812,101,,
2015,..,Saskatchewan,Public,Other Professionals,121519482,108,,
2016,..,Saskatchewan,Public,Other Professionals,122948494,108,,
2017,..,Saskatchewan,Public,Other Professionals,127356738,111,,
2018,..,Saskatchewan,Public,Other Professionals,135035535,116,,
2019,..,Saskatchewan,Public,Other Professionals,143106048,122,,
2020,f,Saskatchewan,Public,Other Professionals,152991957,130,,
2021,f,Saskatchewan,Public,Other Professionals,162971823,136,,
1975,..,Saskatchewan,Public,Drugs,10718250,12,,
1976,..,Saskatchewan,Public,Drugs,17761500,19,,
1977,..,Saskatchewan,Public,Drugs,20614500,22,,
1978,..,Saskatchewan,Public,Drugs,23500250,25,,
1979,..,Saskatchewan,Public,Drugs,26669000,28,,
1980,..,Saskatchewan,Public,Drugs,31211500,32,,
1981,..,Saskatchewan,Public,Drugs,36246500,37,,
1982,..,Saskatchewan,Public,Drugs,45230250,46,,
1983,..,Saskatchewan,Public,Drugs,54241000,54,,
1984,..,Saskatchewan,Public,Drugs,62920250,62,,
1985,..,Saskatchewan,Public,Drugs,73989322,72,,
1986,..,Saskatchewan,Public,Drugs,88302226,86,,
1987,..,Saskatchewan,Public,Drugs,75720753,73,,
1988,..,Saskatchewan,Public,Drugs,73068702,71,,
1989,..,Saskatchewan,Public,Drugs,87224004,86,,
1990,..,Saskatchewan,Public,Drugs,103463758,103,,
1991,..,Saskatchewan,Public,Drugs,110587945,110,,
1992,..,Saskatchewan,Public,Drugs,104292863,104,,
1993,..,Saskatchewan,Public,Drugs,80614304,80,,
1994,..,Saskatchewan,Public,Drugs,81623746,81,,
1995,..,Saskatchewan,Public,Drugs,92229401,91,,
1996,..,Saskatchewan,Public,Drugs,96190395,94,,
1997,..,Saskatchewan,Public,Drugs,101291922,100,,
1998,..,Saskatchewan,Public,Drugs,113561336,112,,
1999,..,Saskatchewan,Public,Drugs,129021626,127,,
2000,..,Saskatchewan,Public,Drugs,143751652,143,,
2001,..,Saskatchewan,Public,Drugs,172946123,173,,
2002,..,Saskatchewan,Public,Drugs,200490561,201,,
2003,..,Saskatchewan,Public,Drugs,225871049,227,,
